file_info,,,,,,,corrected_fluxes_and_quality_flags,,,,,,,,,,,,,,,,,,,,,storage_fluxes,,,,,,vertical_advection_fluxes,,,,gas_densities_concentrations_and_timelags,,,,,,,,,,,,,,,,,,,,air_properties,,,,,,,,,,,,,,unrotated_wind,,,rotated_wind,,,,,,rotation_angles_for_tilt_correction,,,turbulence,,,,,,footprint,,,,,,,,uncorrected_fluxes_and_spectral_correction_factors_(scf),,,,,,,,,,,,,,statistical_flags,,,,,,,,,,,,spikes,,,,,,,,diagnostic_flags_LI-7200,,,,,,,,,diagnostic_flags_LI-7500,,,,diagnostic_flags_LI-7700,,,,,,,,,,,,,,,,AGC_LI-7200,AGC_LI-7500,variances,,,,,,,,covariances,,,,,custom_variables,,
filename,date,time,DOY,daytime,file_records,used_records,Tau,qc_Tau,rand_err_Tau,H,qc_H,rand_err_H,LE,qc_LE,rand_err_LE,co2_flux,qc_co2_flux,rand_err_co2_flux,h2o_flux,qc_h2o_flux,rand_err_h2o_flux,ch4_flux,qc_ch4_flux,rand_err_ch4_flux,none_flux,qc_none_flux,rand_err_none_flux,H_strg,LE_strg,co2_strg,h2o_strg,ch4_strg,none_strg,co2_v-adv,h2o_v-adv,ch4_v-adv,none_v-adv,co2_molar_density,co2_mole_fraction,co2_mixing_ratio,co2_time_lag,co2_def_timelag,h2o_molar_density,h2o_mole_fraction,h2o_mixing_ratio,h2o_time_lag,h2o_def_timelag,ch4_molar_density,ch4_mole_fraction,ch4_mixing_ratio,ch4_time_lag,ch4_def_timelag,none_molar_density,none_mole_fraction,none_mixing_ratio,none_time_lag,none_def_timelag,sonic_temperature,air_temperature,air_pressure,air_density,air_heat_capacity,air_molar_volume,ET,water_vapor_density,e,es,specific_humidity,RH,VPD,Tdew,u_unrot,v_unrot,w_unrot,u_rot,v_rot,w_rot,wind_speed,max_wind_speed,wind_dir,yaw,pitch,roll,u*,TKE,L,(z-d)/L,bowen_ratio,T*,model,x_peak,x_offset,x_10%,x_30%,x_50%,x_70%,x_90%,un_Tau,Tau_scf,un_H,H_scf,un_LE,LE_scf,un_co2_flux,co2_scf,un_h2o_flux,h2o_scf,un_ch4_flux,ch4_scf,un_none_flux,un_none_scf,spikes_hf,amplitude_resolution_hf,drop_out_hf,absolute_limits_hf,skewness_kurtosis_hf,skewness_kurtosis_sf,discontinuities_hf,discontinuities_sf,timelag_hf,timelag_sf,attack_angle_hf,non_steady_wind_hf,u_spikes,v_spikes,w_spikes,ts_spikes,co2_spikes,h2o_spikes,ch4_spikes,none_spikes,head_detect_LI-7200,t_out_LI-7200,t_in_LI-7200,aux_in_LI-7200,delta_p_LI-7200,chopper_LI-7200,detector_LI-7200,pll_LI-7200,sync_LI-7200,chopper_LI-7500,detector_LI-7500,pll_LI-7500,sync_LI-7500,not_ready_LI-7700,no_signal_LI-7700,re_unlocked_LI-7700,bad_temp_LI-7700,laser_temp_unregulated_LI-7700,block_temp_unregulated_LI-7700,motor_spinning_LI-7700,pump_on_LI-7700,top_heater_on_LI-7700,bottom_heater_on_LI-7700,calibrating_LI-7700,motor_failure_LI-7700,bad_aux_tc1_LI-7700,bad_aux_tc2_LI-7700,bad_aux_tc3_LI-7700,box_connected_LI-7700,mean_value_RSSI_LI-7200,mean_value_LI-7500,u_var,v_var,w_var,ts_var,co2_var,h2o_var,ch4_var,none_var,w/ts_cov,w/co2_cov,w/h2o_cov,w/ch4_cov,w/none_cov,diag_irga_mean,co2_sig_mean,h2o_sig_mean
,[yyyy-mm-dd],[HH:MM],[ddd.ddd],[1=daytime],[#],[#],[kg+1m-1s-2],[#],[kg+1m-1s-2],[W+1m-2],[#],[W+1m-2],[W+1m-2],[#],[W+1m-2],[µmol+1s-1m-2],[#],[µmol+1s-1m-2],[mmol+1s-1m-2],[#],[mmol+1s-1m-2],[µmol+1s-1m-2],[#],[µmol+1s-1m-2],[µmol+1s-1m-2],[#],[µmol+1s-1m-2],[W+1m-2],[W+1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[µmol+1s-1m-2],[µmol+1s-1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[µmol+1s-1m-2],[µmol+1s-1m-2],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[mmol+1mol_a-1],[mmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[K],[K],[Pa],[kg+1m-3],[J+1kg-1K-1],[m+3mol-1],[mm+1hour-1],[kg+1m-3],[Pa],[Pa],[kg+1kg-1],[%],[Pa],[K],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[deg_from_north],[deg],[deg],[deg],[m+1s-1],[m+2s-2],[m],[#],[#],[K],[0=KJ/1=KM/2=HS],[m],[m],[m],[m],[m],[m],[m],[kg+1m-1s-2],[#],[W+1m-2],[#],[W+1m-2],[#],[µmol+1s-1m-2],[#],[mmol+1s-1m-2],[#],[µmol+1s-1m-2],[#],[µmol+1s-1m-2],[#],8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8co2/h2o/ch4/none,8co2/h2o/ch4/none,8aa,8U,[#],[#],[#],[#],[#],[#],[#],[#],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#],[#],[m+2s-2],[m+2s-2],[m+2s-2],[K+2],--,--,--,--,[m+1s-1K+1],--,--,--,--,--,--,--
not_enough_data,2/1/2024,0:00,32,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
20240201T003000.dat,2/1/2024,0:30,32.0208,0,17999,17998,-0.190121,2,0.114257E-01,-17.9982,2,0.818285,5.31975,2,0.25464,0.351778,2,0.760926E-01,0.118161,2,0.565598E-02,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-6.70E-12,-8.69E-14,-9999,-9999,17.9967,421.066,423.38,0,0,233.58,5.46504,5.49507,0,0,-9999,-9999,-9999,-9999,9,-9999,-9999,-9999,-9999,9,274.931,273.877,97321.3,1.23541,1008.12,0.233969E-01,0.765680E-02,0.420910E-02,532.007,642.385,0.340705E-02,82.8175,110.378,271.259,5.88487,-1.56258,-0.123587,6.09005,0.549337E-13,-3.72E-16,6.09005,10.5126,14.9361,345.13,-1.1628,-9999,0.392292,1.28843,286.679,0.837140E-02,-3.38328,0.368382E-01,0,60.302,-9.15106,20.6997,51.5452,78.6097,110.251,165.177,-0.187988,1.01134,-17.2548,1.02586,5.65182,1.03428,1.21014,1.03428,0.125536,1.03428,-9999,-9999,-9999,-9999,800000099,800000099,800000099,899999999,800000099,800000099,800010199,800010199,89999,89999,89,81,2,9,2,3,63,14,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.4205,0.976146,0.180204,0.874061E-02,0.201822E-03,0.812029,-9999,-9999,-1.39E-02,0.121014E-02,0.125536,-9999,-9999,-2.36E-03,0.960112,0.956875
20240201T010000.dat,2/1/2024,1:00,32.0416,0,17999,17998,-0.204154,2,0.118456E-01,-18.0405,2,0.898432,5.08776,2,0.268119,0.228122,2,0.922227E-01,0.113017,2,0.595585E-02,-9999,-9999,-9999,-9999,-9999,-9999,0.138871,0.227813E-01,-4.53E-03,0.506052E-03,-9999,-9999,0.696177E-10,0.905210E-12,-9999,-9999,17.9895,420.987,423.304,0,0,233.91,5.47392,5.50405,0,0,-9999,-9999,-9999,-9999,9,-9999,-9999,-9999,-9999,9,275.018,273.961,97330.7,1.23515,1008.12,0.234018E-01,0.732348E-02,0.421506E-02,532.923,646.276,0.341260E-02,82.4607,113.352,271.282,5.95883,-2.32286,-0.138567,6.39707,-2.54E-15,0.386990E-14,6.39707,11.9871,21.2514,338.703,-1.24118,-9999,0.406555,1.44705,318.374,0.753815E-02,-3.54587,0.356367E-01,0,59.9624,-9.09952,20.5831,51.2549,78.167,109.63,164.246,-0.201793,1.0117,-17.2937,1.02673,5.4267,1.03503,1.09359,1.03503,0.120546,1.03503,-9999,-9999,-9999,-9999,800000099,800000099,800000099,899999999,800000099,800000099,800010199,800010199,89999,89999,89,81,2,13,1,3,108,42,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.65323,1.04456,0.19631,0.100939E-01,0.304585E-03,0.890558,-9999,-9999,-1.39E-02,0.109359E-02,0.120546,-9999,-9999,-2.36E-03,0.960295,0.957027
20240201T013000.dat,2/1/2024,1:30,32.0624,0,17999,17998,-0.239067,2,0.136850E-01,-19.7013,2,0.886881,4.7257,2,0.312724,0.202978,2,0.111541,0.104974,2,0.694668E-02,-9999,-9999,-9999,-9999,-9999,-9999,0.467082E-03,0.533348E-01,0.108784E-01,0.118475E-02,-9999,-9999,0.152764E-10,0.199297E-12,-9999,-9999,17.9922,421.178,423.505,0,0,234.727,5.49472,5.52508,0,0,-9999,-9999,-9999,-9999,9,-9999,-9999,-9999,-9999,9,275.022,273.961,97301,1.23476,1008.13,0.234089E-01,0.680232E-02,0.422979E-02,534.785,646.289,0.342559E-02,82.7471,111.503,271.33,5.92368,-2.29612,-0.125176,6.35435,0.183296E-14,0.849059E-15,6.35435,11.6134,21.1282,338.813,-1.12876,-9999,0.440016,1.55757,369.526,0.649482E-02,-4.16897,0.359688E-01,0,61.5528,-9.34088,21.1291,52.6144,80.2404,112.538,168.603,-0.23633,1.01158,-18.9358,1.02647,5.13181,1.03476,1.15793,1.03476,0.113995,1.03476,-9999,-9999,-9999,-9999,800000099,800000099,800000099,899999999,800000099,800000099,800000199,800010199,89999,89999,89,81,4,11,2,7,137,54,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.76889,1.13085,0.215397,0.886160E-02,0.324850E-03,1.04482,-9999,-9999,-1.52E-02,0.115793E-02,0.113995,-9999,-9999,-2.36E-03,0.959962,0.956724
20240201T020000.dat,2/1/2024,2:00,32.0833,0,17999,17998,-0.199642,2,0.114168E-01,-16.2718,2,0.807418,3.7919,2,0.286801,0.126498,2,0.781045E-01,0.842312E-01,2,0.637083E-02,-9999,-9999,-9999,-9999,-9999,-9999,-1.62E-03,0.344647E-01,0.282225E-01,0.765579E-03,-9999,-9999,-6.26E-12,-8.17E-14,-9999,-9999,18.0092,421.673,424.009,0,0,235.248,5.50816,5.53867,0,0,-9999,-9999,-9999,-9999,9,-9999,-9999,-9999,-9999,9,275.03,273.96,97278.4,1.23447,1008.14,0.234143E-01,0.545818E-02,0.423916E-02,535.969,646.243,0.343399E-02,82.9361,110.274,271.359,5.60804,-2.63873,-0.134383,6.19928,0.276185E-15,-3.47E-16,6.19928,11.2823,25.07,334.802,-1.24211,-9999,0.402147,1.56161,341.496,0.702809E-02,-4.29119,0.325123E-01,0,59.6755,-9.05599,20.4847,51.0098,77.7931,109.106,163.461,-0.19739,1.01141,-15.6521,1.02604,4.13423,1.0344,0.918856,1.0344,0.918355E-01,1.0344,-9999,-9999,-9999,-9999,800000099,800000099,800000099,899999999,800000099,800000099,800000199,800010199,89999,89999,89,81,12,5,1,12,173,87,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.55911,1.36969,0.194414,0.890091E-02,0.282899E-03,1.09002,-9999,-9999,-1.26E-02,0.918856E-03,0.918355E-01,-9999,-9999,-2.36E-03,0.959596,0.956397
20240201T023000.dat,2/1/2024,2:30,32.1041,0,17999,17998,-0.179042,2,0.108650E-01,-18.797,2,1.33062,4.95086,2,0.294356,0.139912,2,0.11358,0.109979,2,0.653884E-02,-9999,-9999,-9999,-9999,-9999,-9999,0.484269E-01,-0.117262,-3.50E-02,-2.60E-03,-9999,-9999,-1.13E-10,-1.46E-12,-9999,-9999,17.9807,421.058,423.371,0,0,233.264,5.46242,5.49242,0,0,-9999,-9999,-9999,-9999,9,-9999,-9999,-9999,-9999,9,275.178,273.989,97276.4,1.23434,1008.12,0.234173E-01,0.712662E-02,0.420342E-02,531.507,647.606,0.340541E-02,82.0726,116.099,271.246,5.50442,-2.59455,-0.150603,6.08711,0.563217E-13,-6.28E-15,6.08711,11.5011,25.5411,334.763,-1.41772,-9999,0.380856,1.51637,251.101,0.955835E-02,-3.7967,0.396628E-01,0,59.9207,-9.09319,20.5688,51.2193,78.1126,109.554,164.132,-0.177022,1.01141,-18.051,1.02598,5.31955,1.03444,1.0488,1.03444,0.118169,1.03444,-9999,-9999,-9999,-9999,800000099,800000099,800000099,899999999,800000099,800000099,800000199,800010199,89999,89999,89,81,8,15,2,6,150,74,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.73047,1.12967,0.172604,0.200665E-01,0.495976E-03,1.27944,-9999,-9999,-1.45E-02,0.104880E-02,0.118169,-9999,-9999,-2.36E-03,0.959504,0.956262
20240201T030000.dat,2/1/2024,3:00,32.1249,0,17999,17998,-0.147817,2,0.838039E-02,-11.9962,2,0.620137,2.31585,2,0.175507,0.460865,2,0.133419,0.514332E-01,2,0.389787E-02,-9999,-9999,-9999,-9999,-9999,-9999,-0.379808,0.130750E-01,-3.04E-02,0.290387E-03,-9999,-9999,-1.62E-11,-2.11E-13,-9999,-9999,17.9706,420.526,422.837,0,0,233.647,5.46751,5.49757,0,0,-9999,-9999,-9999,-9999,9,-9999,-9999,-9999,-9999,9,275.144,273.761,97263.9,1.23521,1008.12,0.234007E-01,0.333287E-02,0.421032E-02,531.934,636.996,0.340860E-02,83.5067,105.062,271.257,5.19533,-1.53011,-0.124686,5.4174,0.119238E-13,-9.01E-16,5.4174,9.70818,16.6202,343.589,-1.31883,-9999,0.345934,0.928059,294.814,0.814129E-02,-5.18006,0.278485E-01,0,62.531,-9.48932,21.4649,53.4505,81.5154,114.327,171.282,-0.146286,1.01047,-11.5917,1.02373,2.58952,1.03239,1.038,1.03239,0.575113E-01,1.03239,-9999,-9999,-9999,-9999,800000099,800000099,800000099,899999999,800000099,800000099,800000199,800010199,89999,89999,89,81,1,17,4,2,149,108,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.17624,0.551874,0.12801,0.746583E-02,0.767210E-03,0.98491,-9999,-9999,-9.31E-03,0.103800E-02,0.575113E-01,-9999,-9999,-2.36E-03,0.956186,0.953083
20240201T033000.dat,2/1/2024,3:30,32.1458,0,17999,17998,-0.155172,2,0.926375E-02,-11.7758,2,0.679326,1.54839,2,0.162614,0.198249,2,0.14053,0.343858E-01,2,0.361123E-02,-9999,-9999,-9999,-9999,-9999,-9999,-0.144496,-2.29E-02,-3.96E-02,-5.09E-04,-9999,-9999,0.667407E-11,0.867754E-13,-9999,-9999,17.944,419.831,422.135,0,0,233.305,5.45858,5.48854,0,0,-9999,-9999,-9999,-9999,9,-9999,-9999,-9999,-9999,9,275.263,273.674,97249.3,1.23542,1008.11,0.233968E-01,0.222820E-02,0.420415E-02,530.986,633.001,0.340302E-02,83.884,102.015,271.233,5.02866,-1.66527,-0.102104,5.29821,0.388946E-13,0.371940E-15,5.29821,9.16037,18.335,341.677,-1.10424,-9999,0.354405,0.917081,322.905,0.743320E-02,-7.60519,0.266790E-01,0,60.4524,-9.17389,20.7514,51.6738,78.8058,110.526,165.589,-0.153593,1.01028,-11.4232,1.02329,1.84394,1.03198,0.778853,1.03198,0.409491E-01,1.03198,-9999,-9999,-9999,-9999,800000099,800000099,800000099,899999999,800000099,800000099,800010199,800010199,89999,89999,89,81,5,19,0,1,178,178,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.02445,0.663499,0.146212,0.671438E-02,0.716717E-03,0.86233,-9999,-9999,-9.17E-03,0.778853E-03,0.409491E-01,-9999,-9999,-2.36E-03,0.953222,0.950181
20240201T040000.dat,2/1/2024,4:00,32.1666,0,17999,17998,-0.106178,2,0.647174E-02,-9.8569,2,1.07097,1.87445,2,0.135317,0.201291,2,0.675950E-01,0.416267E-01,2,0.300504E-02,-9999,-9999,-9999,-9999,-9999,-9999,0.117887E-02,-1.01E-02,-4.21E-02,-2.23E-04,-9999,-9999,-2.14E-11,-2.78E-13,-9999,-9999,17.9082,419.093,421.392,0,0,233.082,5.45466,5.48458,0,0,-9999,-9999,-9999,-9999,9,-9999,-9999,-9999,-9999,9,275.158,273.674,97226.6,1.23513,1008.11,0.234023E-01,0.269741E-02,0.420014E-02,530.481,633.033,0.340057E-02,83.7999,102.552,271.22,4.65968,-1.59907,-0.117787,4.92784,0.115766E-13,-1.19E-15,4.92784,8.9599,18.9552,341.059,-1.36964,-9999,0.293199,0.702144,218.394,0.109906E-01,-5.25856,0.269997E-01,0,55.8885,-8.48129,19.1847,47.7726,72.8563,102.182,153.087,-0.105126,1.01001,-9.53721,1.02254,2.10172,1.03145,0.680454,1.03145,0.466738E-01,1.03145,-9999,-9999,-9999,-9999,800001199,800000099,800000099,899999999,800000099,800000099,800010199,800010199,89999,89999,89,81,5,16,1,6,255,203,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.811903,0.47061,0.121776,0.228612E-01,0.438685E-03,0.781985,-9999,-9999,-7.66E-03,0.680454E-03,0.466738E-01,-9999,-9999,-1.60E-04,0.956629,0.953492
not_enough_data,2/1/2024,4:30,32.187,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
not_enough_data,2/1/2024,5:00,32.208,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
not_enough_data,2/1/2024,5:30,32.229,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
not_enough_data,2/1/2024,6:00,32.249,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
