file_info,,,,,,,corrected_fluxes_and_quality_flags,,,,,,,,,,,,,,,,,,,,,storage_fluxes,,,,,,vertical_advection_fluxes,,,,gas_densities_concentrations_and_timelags,,,,,,,,,,,,,,,,,,,,air_properties,,,,,,,,,,,,,,unrotated_wind,,,rotated_wind,,,,,,rotation_angles_for_tilt_correction,,,turbulence,,,,,,footprint,,,,,,,,uncorrected_fluxes_and_spectral_correction_factors_(scf),,,,,,,,,,,,,,statistical_flags,,,,,,,,,,,,spikes,,,,,,,,diagnostic_flags_LI-7200,,,,,,,,,diagnostic_flags_LI-7500,,,,diagnostic_flags_LI-7700,,,,,,,,,,,,,,,,AGC_LI-7200,AGC_LI-7500,variances,,,,,,,,covariances,,,,,custom_variables,,
filename,date,time,DOY,daytime,file_records,used_records,Tau,qc_Tau,rand_err_Tau,H,qc_H,rand_err_H,LE,qc_LE,rand_err_LE,co2_flux,qc_co2_flux,rand_err_co2_flux,h2o_flux,qc_h2o_flux,rand_err_h2o_flux,ch4_flux,qc_ch4_flux,rand_err_ch4_flux,none_flux,qc_none_flux,rand_err_none_flux,H_strg,LE_strg,co2_strg,h2o_strg,ch4_strg,none_strg,co2_v-adv,h2o_v-adv,ch4_v-adv,none_v-adv,co2_molar_density,co2_mole_fraction,co2_mixing_ratio,co2_time_lag,co2_def_timelag,h2o_molar_density,h2o_mole_fraction,h2o_mixing_ratio,h2o_time_lag,h2o_def_timelag,ch4_molar_density,ch4_mole_fraction,ch4_mixing_ratio,ch4_time_lag,ch4_def_timelag,none_molar_density,none_mole_fraction,none_mixing_ratio,none_time_lag,none_def_timelag,sonic_temperature,air_temperature,air_pressure,air_density,air_heat_capacity,air_molar_volume,ET,water_vapor_density,e,es,specific_humidity,RH,VPD,Tdew,u_unrot,v_unrot,w_unrot,u_rot,v_rot,w_rot,wind_speed,max_wind_speed,wind_dir,yaw,pitch,roll,u*,TKE,L,(z-d)/L,bowen_ratio,T*,model,x_peak,x_offset,x_10%,x_30%,x_50%,x_70%,x_90%,un_Tau,Tau_scf,un_H,H_scf,un_LE,LE_scf,un_co2_flux,co2_scf,un_h2o_flux,h2o_scf,un_ch4_flux,ch4_scf,un_none_flux,un_none_scf,spikes_hf,amplitude_resolution_hf,drop_out_hf,absolute_limits_hf,skewness_kurtosis_hf,skewness_kurtosis_sf,discontinuities_hf,discontinuities_sf,timelag_hf,timelag_sf,attack_angle_hf,non_steady_wind_hf,u_spikes,v_spikes,w_spikes,ts_spikes,co2_spikes,h2o_spikes,ch4_spikes,none_spikes,head_detect_LI-7200,t_out_LI-7200,t_in_LI-7200,aux_in_LI-7200,delta_p_LI-7200,chopper_LI-7200,detector_LI-7200,pll_LI-7200,sync_LI-7200,chopper_LI-7500,detector_LI-7500,pll_LI-7500,sync_LI-7500,not_ready_LI-7700,no_signal_LI-7700,re_unlocked_LI-7700,bad_temp_LI-7700,laser_temp_unregulated_LI-7700,block_temp_unregulated_LI-7700,motor_spinning_LI-7700,pump_on_LI-7700,top_heater_on_LI-7700,bottom_heater_on_LI-7700,calibrating_LI-7700,motor_failure_LI-7700,bad_aux_tc1_LI-7700,bad_aux_tc2_LI-7700,bad_aux_tc3_LI-7700,box_connected_LI-7700,mean_value_RSSI_LI-7200,mean_value_LI-7500,u_var,v_var,w_var,ts_var,co2_var,h2o_var,ch4_var,none_var,w/ts_cov,w/co2_cov,w/h2o_cov,w/ch4_cov,w/none_cov,diag_irga_mean,co2_sig_mean,h2o_sig_mean
,[yyyy-mm-dd],[HH:MM],[ddd.ddd],[1=daytime],[#],[#],[kg+1m-1s-2],[#],[kg+1m-1s-2],[W+1m-2],[#],[W+1m-2],[W+1m-2],[#],[W+1m-2],[µmol+1s-1m-2],[#],[µmol+1s-1m-2],[mmol+1s-1m-2],[#],[mmol+1s-1m-2],[µmol+1s-1m-2],[#],[µmol+1s-1m-2],[µmol+1s-1m-2],[#],[µmol+1s-1m-2],[W+1m-2],[W+1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[µmol+1s-1m-2],[µmol+1s-1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[µmol+1s-1m-2],[µmol+1s-1m-2],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[mmol+1mol_a-1],[mmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[K],[K],[Pa],[kg+1m-3],[J+1kg-1K-1],[m+3mol-1],[mm+1hour-1],[kg+1m-3],[Pa],[Pa],[kg+1kg-1],[%],[Pa],[K],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[deg_from_north],[deg],[deg],[deg],[m+1s-1],[m+2s-2],[m],[#],[#],[K],[0=KJ/1=KM/2=HS],[m],[m],[m],[m],[m],[m],[m],[kg+1m-1s-2],[#],[W+1m-2],[#],[W+1m-2],[#],[µmol+1s-1m-2],[#],[mmol+1s-1m-2],[#],[µmol+1s-1m-2],[#],[µmol+1s-1m-2],[#],8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8co2/h2o/ch4/none,8co2/h2o/ch4/none,8aa,8U,[#],[#],[#],[#],[#],[#],[#],[#],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#],[#],[m+2s-2],[m+2s-2],[m+2s-2],[K+2],--,--,--,--,[m+1s-1K+1],--,--,--,--,--,--,--
20240331T240000.dat,4/1/2024,0:00,92,0,17999,17998,-1.13E-02,2,1.84E-03,-3.44443,2,0.676773,1.76651,2,0.273012,1.24033,2,0.544871,3.93E-02,2,6.07E-03,-9999,-9999,-9999,-9999,-9999,-9999,-0.417183,-0.126931,0.131332,-2.82E-03,-9999,-9999,-4.25E-11,-5.30E-13,-9999,-9999,17.908,419.397,421.603,0,0,223.398,5.23189,5.2594,0,0,-9999,-9999,-9999,-9999,9,-9999,-9999,-9999,-9999,9,275.752,274.596,97482.1,1.23432,1008,2.34E-02,2.54E-03,4.03E-03,510.152,676.495,3.26E-03,75.411,166.343,270.692,-1.07738,-0.287701,-4.30E-02,1.11596,-4.23E-14,-2.37E-15,1.11596,2.83418,166.567,194.951,-2.20863,-9999,9.56E-02,0.174034,21.6897,0.115262,-1.94985,2.90E-02,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-1.12E-02,1.01049,-3.27977,1.02012,1.79974,1.0327,1.35993,1.0327,4.00E-02,1.0327,-9999,-9999,-9999,-9999,800000099,800000099,800000099,899999999,800000099,800100099,800110199,801110199,89999,89999,89,81,0,9,4,3,4,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.230518,0.107304,1.02E-02,2.68E-02,2.22E-02,3.33334,-9999,-9999,-2.64E-03,1.36E-03,4.00E-02,-9999,-9999,-2.36E-03,0.953112,0.94727
20240401T003000.dat,4/1/2024,0:30,92.0208,0,17999,17998,-1.08E-02,2,2.65E-03,-2.85719,2,0.548362,1.48167,2,0.336272,0.124784,2,0.208891,3.29E-02,2,7.47E-03,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.02E-11,1.28E-13,-9999,-9999,17.8242,417.232,419.423,0,0,223.113,5.22269,5.25011,0,0,-9999,-9999,-9999,-9999,9,-9999,-9999,-9999,-9999,9,275.642,274.486,97490.1,1.23492,1007.99,2.34E-02,2.13E-03,4.02E-03,509.297,671.159,3.26E-03,75.8832,161.862,270.669,-0.784097,-0.184697,-2.31E-02,0.805888,-6.56E-14,5.74E-16,0.805888,2.44193,168.876,193.255,-1.64354,-9999,9.37E-02,0.224674,24.6128,0.101573,-1.92836,2.45E-02,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-1.07E-02,1.01096,-2.72079,1.01972,1.50951,1.03204,0.252016,1.03204,3.35E-02,1.03204,-9999,-9999,-9999,-9999,800000099,800000099,800000099,899999999,800000099,800000099,800110199,811110199,89999,89999,89,81,0,0,1,0,0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.285653,0.154344,9.35E-03,1.29E-02,5.05E-03,3.96783,-9999,-9999,-2.19E-03,2.52E-04,3.35E-02,-9999,-9999,-2.36E-03,0.953065,0.947212
20240401T010000.dat,4/1/2024,1:00,92.0416,0,17999,17998,-1.24E-02,2,1.52E-03,-2.78759,2,0.36374,2.40566,2,0.244495,0.904013,2,0.234916,5.35E-02,2,5.43E-03,-9999,-9999,-9999,-9999,-9999,-9999,-0.242554,0.122732,0.16456,2.73E-03,-9999,-9999,-3.72E-12,-4.67E-14,-9999,-9999,17.9464,420.005,422.23,0,0,225.124,5.26865,5.29655,0,0,-9999,-9999,-9999,-9999,9,-9999,-9999,-9999,-9999,9,275.45,274.345,97461,1.23516,1008.02,2.34E-02,3.46E-03,4.06E-03,513.626,664.425,3.28E-03,77.3037,150.8,270.783,-1.05405,-0.243105,-3.70E-02,1.08236,-2.84E-14,-2.08E-16,1.08236,2.56035,168.681,192.988,-1.96142,-9999,0.100109,0.209871,30.7907,8.12E-02,-1.15876,2.24E-02,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-1.23E-02,1.00978,-2.60575,1.01823,2.40362,1.02997,0.998103,1.02997,5.34E-02,1.02997,-9999,-9999,-9999,-9999,800000099,800000099,800000099,899999999,800000099,810000099,811110199,811110199,89999,89999,89,81,1,21,4,1,5,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.220607,0.188486,1.07E-02,1.63E-02,9.60E-03,4.6005,-9999,-9999,-2.09E-03,9.98E-04,5.34E-02,-9999,-9999,-2.36E-03,0.952825,0.946947
20240401T013000.dat,4/1/2024,1:30,92.0624,0,17999,17998,-1.49E-02,2,1.18E-03,-1.72967,2,0.307286,3.28502,2,0.588039,0.140467,2,9.75E-02,7.30E-02,2,1.31E-02,-9999,-9999,-9999,-9999,-9999,-9999,-3.23E-02,-0.25469,-0.155668,-5.66E-03,-9999,-9999,2.73E-11,3.39E-13,-9999,-9999,17.8345,417.382,419.553,0,0,221.051,5.17328,5.20018,0,0,-9999,-9999,-9999,-9999,9,-9999,-9999,-9999,-9999,9,275.414,274.327,97455,1.23522,1007.96,2.34E-02,4.73E-03,3.98E-03,504.298,663.532,3.22E-03,76.0021,159.234,270.536,-1.40391,-0.321855,-5.50E-02,1.44139,-1.85E-14,1.53E-15,1.44139,2.95477,167.95,192.912,-2.18771,-9999,0.10987,0.129518,65.5959,3.81E-02,-0.526532,1.26E-02,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-1.48E-02,1.00835,-1.522,1.01577,3.23348,1.02626,0.195184,1.02626,7.19E-02,1.02626,-9999,-9999,-9999,-9999,800000099,800000099,800000099,899999999,800000099,800000099,800110199,801110199,89999,89999,89,81,4,5,2,0,0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.161422,8.09E-02,1.67E-02,1.46E-02,2.62E-03,14.8979,-9999,-9999,-1.22E-03,1.95E-04,7.19E-02,-9999,-9999,-2.36E-03,0.952799,0.946916
20240401T020000.dat,4/1/2024,2:00,92.0833,0,17999,17998,-3.84E-02,2,2.30E-03,-2.54009,2,0.298814,6.06547,2,0.765024,1.72408,2,0.420746,0.134734,2,1.70E-02,-9999,-9999,-9999,-9999,-9999,-9999,-0.640758,-0.26426,0.215606,-5.87E-03,-9999,-9999,1.14E-10,1.37E-12,-9999,-9999,18.0043,421.012,423.16,0,0,217.006,5.07445,5.10033,0,0,-9999,-9999,-9999,-9999,9,-9999,-9999,-9999,-9999,9,275.011,273.956,97403.3,1.23628,1007.9,2.34E-02,8.73E-03,3.91E-03,494.401,646.063,3.16E-03,76.5251,151.662,270.269,-1.9455,-0.626586,-8.27E-02,2.04558,7.03E-14,6.31E-15,2.04558,4.28542,160.904,197.852,-2.31617,-9999,0.176289,0.41388,184.44,1.36E-02,-0.418779,1.16E-02,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-3.81E-02,1.00754,-2.16886,1.01496,5.96053,1.02464,1.758,1.02464,0.132403,1.02464,-9999,-9999,-9999,-9999,800000099,800000099,800000099,899999999,800000099,800100099,800010199,810110199,89999,89999,89,81,0,8,6,0,0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.469294,0.329477,2.90E-02,1.30E-02,9.68E-03,16.7212,-9999,-9999,-1.74E-03,1.76E-03,0.132403,-9999,-9999,-2.36E-03,0.95249,0.946566
20240401T023000.dat,4/1/2024,2:30,92.1041,0,17999,17998,-3.31E-02,2,2.44E-03,-4.60837,2,0.632784,1.74193,2,0.792294,0.109662,2,7.51E-02,3.87E-02,2,1.76E-02,-9999,-9999,-9999,-9999,-9999,-9999,-0.593749,-1.16694,-0.163676,-2.59E-02,-9999,-9999,2.20E-11,2.44E-13,-9999,-9999,17.9099,418.26,420.209,0,0,198.63,4.63873,4.66035,0,0,-9999,-9999,-9999,-9999,9,-9999,-9999,-9999,-9999,9,274.618,273.614,97408,1.23809,1007.66,2.34E-02,2.51E-03,3.58E-03,451.971,630.26,2.89E-03,71.7117,178.29,269.069,-1.83692,-0.211337,-6.57E-02,1.8502,6.83E-14,1.23E-15,1.8502,4.7236,173.921,186.563,-2.03639,-9999,0.163495,0.372039,81.0926,3.08E-02,-2.64556,2.26E-02,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-3.28E-02,1.00804,-4.44082,1.01588,1.80734,1.02615,0.326725,1.02615,4.01E-02,1.02615,-9999,-9999,-9999,-9999,800000099,800000099,800000099,899999999,800000099,800000099,800010199,800110199,89999,89999,89,81,1,7,2,3,25,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.412016,0.298962,3.31E-02,1.33E-02,8.11E-04,54.8577,-9999,-9999,-3.56E-03,3.27E-04,4.01E-02,-9999,-9999,-1.60E-04,0.955023,0.949089
20240401T030000.dat,4/1/2024,3:00,92.1249,0,17999,17998,-1.63E-02,2,1.15E-03,-2.86795,2,0.314822,3.9927,2,0.435847,0.544508,2,0.139627,8.86E-02,2,9.68E-03,-9999,-9999,-9999,-9999,-9999,-9999,-0.593636,-0.441931,-2.57E-02,-9.81E-03,-9999,-9999,-2.85E-11,-3.05E-13,-9999,-9999,17.9179,417.828,419.706,0,0,191.862,4.47402,4.49412,0,0,-9999,-9999,-9999,-9999,9,-9999,-9999,-9999,-9999,9,274.279,273.272,97430.5,1.24,1007.57,2.33E-02,5.74E-03,3.46E-03,436.023,614.826,2.79E-03,70.9181,178.803,268.592,-1.3456,-0.174813,-5.68E-02,1.35809,1.12E-13,-1.59E-15,1.35809,2.67932,171.596,187.402,-2.39801,-9999,0.114717,0.149913,45.0178,5.55E-02,-0.718298,2.00E-02,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-1.62E-02,1.00882,-2.60239,1.01674,3.93823,1.02773,0.640225,1.02773,8.74E-02,1.02773,-9999,-9999,-9999,-9999,800000099,800000099,800000099,899999999,800001099,800001099,800010199,810110199,89999,89999,89,81,3,26,4,0,3,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.128235,0.156247,1.53E-02,8.81E-03,1.62E-03,11.7773,-9999,-9999,-2.08E-03,6.40E-04,8.74E-02,-9999,-9999,-2.36E-03,0.95305,0.947158
20240401T033000.dat,4/1/2024,3:30,92.1458,0,17999,17998,-1.32E-02,2,1.49E-03,-2.53015,2,0.269655,6.05474,2,0.668265,0.875321,2,0.359216,0.134412,2,1.48E-02,-9999,-9999,-9999,-9999,-9999,-9999,3.69E-02,1.34E-03,0.124994,2.97E-05,-9999,-9999,1.71E-11,1.82E-13,-9999,-9999,18.0097,419.927,421.814,0,0,191.902,4.47452,4.49463,0,0,-9999,-9999,-9999,-9999,9,-9999,-9999,-9999,-9999,9,274.307,273.293,97447.6,1.24012,1007.57,2.33E-02,8.71E-03,3.46E-03,436.148,615.775,2.79E-03,70.8291,179.627,268.596,-1.29256,-0.59372,-4.18E-02,1.42302,-1.06E-14,9.48E-16,1.42302,2.94017,155.434,204.671,-1.68501,-9999,0.103268,9.42E-02,37.2288,6.72E-02,-0.417879,1.96E-02,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-1.31E-02,1.00892,-2.15648,1.01717,5.92386,1.02833,0.926069,1.02833,0.131506,1.02833,-9999,-9999,-9999,-9999,800000099,800000099,800000099,899999999,800000099,800000099,800110199,801110199,89999,89999,89,81,1,35,1,0,2,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.122985,5.15E-02,1.40E-02,3.60E-03,1.09E-02,16.8444,-9999,-9999,-1.73E-03,9.26E-04,0.131506,-9999,-9999,-2.36E-03,0.953161,0.947269
20240401T040000.dat,4/1/2024,4:00,92.1666,0,17999,17998,-1.27E-02,2,1.08E-03,-3.30162,2,0.347769,5.44725,2,0.620894,0.522794,2,0.126005,0.120921,2,1.38E-02,-9999,-9999,-9999,-9999,-9999,-9999,-6.65E-02,-0.370328,-0.2319,-8.22E-03,-9999,-9999,2.15E-11,2.24E-13,-9999,-9999,17.8441,416.034,417.846,0,0,185.998,4.33652,4.3554,0,0,-9999,-9999,-9999,-9999,9,-9999,-9999,-9999,-9999,9,274.255,273.255,97441.6,1.24029,1007.49,2.33E-02,7.84E-03,3.35E-03,422.671,614.065,2.70E-03,68.8315,191.395,268.181,-1.25952,-0.202181,-4.85E-02,1.27656,1.51E-15,1.20E-15,1.27656,2.87546,172.085,189.119,-2.17703,-9999,0.101201,0.139608,26.8489,9.31E-02,-0.606107,2.61E-02,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-1.26E-02,1.00966,-2.94424,1.01861,5.34176,1.03049,0.625932,1.03049,0.118579,1.03049,-9999,-9999,-9999,-9999,800000099,800000099,800000099,899999999,800000099,800000099,800010199,800110199,89999,89999,89,81,3,2,7,0,0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.127665,0.135381,1.62E-02,6.65E-03,1.32E-03,14.7327,-9999,-9999,-2.36E-03,6.26E-04,0.118579,-9999,-9999,-2.36E-03,0.953271,0.947392
20240401T043000.dat,4/1/2024,4:30,92.1874,0,17999,17998,-1.24E-02,2,1.04E-03,-2.29115,2,0.30949,3.23333,2,0.36216,0.220368,2,7.14E-02,7.18E-02,2,8.04E-03,-9999,-9999,-9999,-9999,-9999,-9999,-0.250208,-0.217372,-4.95E-02,-4.82E-03,-9999,-9999,-9.96E-12,-1.02E-13,-9999,-9999,17.8271,415.204,416.978,0,0,182.718,4.25561,4.2738,0,0,-9999,-9999,-9999,-9999,9,-9999,-9999,-9999,-9999,9,274.081,273.111,97491.9,1.24162,1007.45,2.33E-02,4.65E-03,3.29E-03,414.999,607.676,2.65E-03,68.2928,192.677,267.939,-1.15468,-7.71E-02,-4.96E-02,1.15832,4.11E-14,-5.59E-16,1.15832,2.80145,178.058,183.821,-2.45566,-9999,0.10002,0.132317,37.3645,6.69E-02,-0.708604,1.83E-02,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-1.23E-02,1.00931,-2.07562,1.01733,3.18358,1.02865,0.30149,1.02865,7.07E-02,1.02865,-9999,-9999,-9999,-9999,800000099,800000099,800000099,899999999,800000099,800000099,800110199,810110199,89999,89999,89,81,0,2,4,0,0,3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.170536,8.01E-02,1.40E-02,1.23E-02,1.14E-03,10.7614,-9999,-9999,-1.66E-03,3.01E-04,7.07E-02,-9999,-9999,-2.36E-03,0.953336,0.947477
20240401T050000.dat,4/1/2024,5:00,92.2082,0,17999,17998,-6.28E-03,2,7.58E-04,-2.27477,2,0.21216,2.00435,2,0.226274,0.616743,2,0.13282,4.45E-02,2,5.02E-03,-9999,-9999,-9999,-9999,-9999,-9999,-0.728678,0.327023,0.138849,7.26E-03,-9999,-9999,-4.74E-11,-4.97E-13,-9999,-9999,17.952,417.529,419.365,0,0,188.198,4.37711,4.39635,0,0,-9999,-9999,-9999,-9999,9,-9999,-9999,-9999,-9999,9,273.741,272.692,97478.4,1.2433,1007.51,2.33E-02,2.88E-03,3.39E-03,426.788,589.427,2.73E-03,72.4074,162.638,268.309,-1.18045,-0.12113,-4.30E-02,1.18743,-3.73E-14,-2.64E-15,1.18743,3.17752,177.74,185.859,-2.07607,-9999,7.11E-02,0.209327,13.5134,0.185001,-1.13491,2.55E-02,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-6.21E-03,1.01188,-2.11416,1.02354,1.97785,1.03753,0.691765,1.03753,4.39E-02,1.03753,-9999,-9999,-9999,-9999,800000099,800000099,800000099,899999999,800000099,800001099,801110199,811110199,89999,89999,89,81,9,9,4,8,1,5,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.13357,0.275797,9.29E-03,1.04E-02,4.73E-03,8.04782,-9999,-9999,-1.69E-03,6.92E-04,4.39E-02,-9999,-9999,-2.36E-03,0.953008,0.947146
20240401T053000.dat,4/1/2024,5:30,92.2291,0,17999,17998,-1.19E-02,2,8.35E-04,-4.37106,2,0.408191,3.12718,2,0.328666,0.40826,2,9.41E-02,6.94E-02,2,7.29E-03,-9999,-9999,-9999,-9999,-9999,-9999,-0.269203,-0.166847,-6.48E-02,-3.70E-03,-9999,-9999,-7.87E-11,-8.16E-13,-9999,-9999,17.9163,416.444,418.249,0,0,185.648,4.31517,4.33387,0,0,-9999,-9999,-9999,-9999,9,-9999,-9999,-9999,-9999,9,273.572,272.537,97482.8,1.24409,1007.47,2.32E-02,4.50E-03,3.35E-03,420.768,582.813,2.69E-03,72.1961,162.045,268.121,-1.17834,0.194444,-4.16E-02,1.195,-8.54E-15,-4.40E-15,1.195,2.69674,189.493,170.63,-1.99675,-9999,9.80E-02,0.140533,18.4245,0.135689,-1.39776,3.56E-02,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-1.18E-02,1.0108,-4.11133,1.02111,3.11456,1.0341,0.588555,1.0341,6.91E-02,1.0341,-9999,-9999,-9999,-9999,800000099,800000099,800000099,899999999,800000099,800000099,800010199,810110199,89999,89999,89,81,3,13,4,5,8,5,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.120782,0.144459,1.58E-02,1.98E-02,1.79E-03,8.06942,-9999,-9999,-3.28E-03,5.89E-04,6.91E-02,-9999,-9999,-2.36E-03,0.952773,0.946905
20240401T060000.dat,4/1/2024,6:00,92.2499,0,17999,17998,-1.16E-02,2,6.72E-04,-2.98154,2,0.230305,2.06662,2,0.31374,0.462038,2,8.31E-02,4.58E-02,2,6.96E-03,-9999,-9999,-9999,-9999,-9999,-9999,-7.58E-02,-7.29E-02,-7.12E-03,-1.62E-03,-9999,-9999,-3.54E-11,-3.64E-13,-9999,-9999,17.9191,416.325,418.118,0,0,184.565,4.28811,4.30658,0,0,-9999,-9999,-9999,-9999,9,-9999,-9999,-9999,-9999,9,273.553,272.494,97510.2,1.24465,1007.46,2.32E-02,2.97E-03,3.33E-03,418.247,580.962,2.67E-03,71.9921,162.715,268.042,-1.21769,-1.06E-03,-4.96E-02,1.2187,1.22E-13,-1.97E-15,1.2187,2.86846,180.722,180.05,-2.33459,-9999,9.66E-02,0.115564,25.8814,9.66E-02,-1.44271,2.46E-02,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-1.15E-02,1.00992,-2.81352,1.01906,2.06597,1.03117,0.581196,1.03117,4.58E-02,1.03117,-9999,-9999,-9999,-9999,800000099,800000099,800000099,899999999,800000099,800000099,800010199,801110199,89999,89999,89,81,0,2,8,3,3,4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.115865,0.101913,1.34E-02,1.31E-02,1.86E-03,12.9041,-9999,-9999,-2.24E-03,5.81E-04,4.58E-02,-9999,-9999,-2.36E-03,0.952879,0.947038
