%ERS4 N2O fluxes for plot 1 year 2022
% Year, Date, Plot,N2O flux, flux_l, grad, K, u*, cup1, H, Ts,int_z_l,int_z_u,d, z0, fetch_intake_big,fetch_intake_small,BL, Filter, TGA_F,u* info
% , doy, ,ng N2O-N/(m2s), ng N2O-N/(m2s), ng/m3, m2/s, m/s,m/s, W/m2,oC,m,m,m,m,m,m, , ,
2022.000000,1.020833,1.000000,NaN,NaN,NaN,0.033705,0.122796,1.945000,-3.701912,275.804287,0.570000,1.070000,0.050000,0.005000,1000.000000,1000.000000,104.000000,% tga filt,,%      
2022.000000,1.104167,1.000000,NaN,NaN,NaN,0.022726,0.094334,1.449000,-1.471649,276.444292,0.570000,1.070000,0.111890,0.011690,1000.000000,1000.000000,39.188195,% tga filt,,%      
2022.000000,1.187500,1.000000,NaN,NaN,NaN,0.018069,0.071952,0.420000,-0.793789,275.944051,0.570000,1.070000,0.111890,0.011690,1000.000000,1000.000000,39.188195,% tga filt,,%      
2022.000000,1.270833,1.000000,NaN,NaN,NaN,0.035592,0.131309,1.459000,-1.010978,276.139687,0.570000,1.070000,0.111890,0.011690,1000.000000,1000.000000,39.188195,% tga filt,,%      
2022.000000,1.354167,1.000000,NaN,NaN,NaN,0.038953,0.143708,1.540000,-1.868730,276.444602,0.570000,1.070000,0.111890,0.011690,1000.000000,1000.000000,39.188195,% tga filt,% manual filter,%      
2022.000000,1.437500,1.000000,9.747459,9.747459,50.568349,0.096379,0.355568,3.205000,18.126100,275.555363,0.570000,1.070000,0.111890,0.011690,1000.000000,1000.000000,39.188195,%         ,,%      
2022.000000,1.520833,1.000000,-0.563268,-0.563268,-3.059224,0.092061,0.339636,3.482000,17.113700,274.200000,0.570000,1.070000,0.111890,0.011690,1000.000000,1000.000000,39.188195,%         ,,%      
2022.000000,1.604167,1.000000,7.082237,7.082237,38.080623,0.092990,0.343065,3.851000,10.223720,273.718180,0.570000,1.070000,0.111890,0.011690,1000.000000,1000.000000,39.188195,%         ,,%      
2022.000000,1.687500,1.000000,-8.862937,-8.862937,-44.600675,0.099359,0.366561,3.167000,2.116922,273.006678,0.570000,1.070000,0.111890,0.011690,1000.000000,1000.000000,39.188195,%         ,,%      
2022.000000,1.770833,1.000000,9.557891,9.557891,45.773844,0.104403,0.385172,3.496000,11.470600,272.542766,0.570000,1.070000,0.111890,0.011690,1000.000000,1000.000000,39.188195,%         ,,%      
2022.000000,1.854167,1.000000,NaN,0.474655,2.609662,0.090942,0.335509,3.848000,9.220182,270.608843,0.570000,1.070000,0.111890,0.011690,1000.000000,1000.000000,39.188195,%         ,,% opposite plot u*
2022.000000,1.937500,1.000000,3.772291,3.772291,16.600013,0.113623,0.419186,4.792000,NaN,269.323743,0.570000,1.070000,0.111890,0.011690,1000.000000,1000.000000,39.188195,%         ,,% uncorrected u*
2022.000000,2.020833,1.000000,1.084815,1.084815,4.818018,0.112579,0.415334,3.908000,6.577447,269.227477,0.570000,1.070000,0.111890,0.011690,1000.000000,1000.000000,39.188195,%         ,,%      
