%ERS4 N2O fluxes for plot 2 year 2022
% Year, Date, Plot,N2O flux, flux_l, grad, K, u*, cup1, H, Ts,int_z_l,int_z_u,d, z0, fetch_intake_big,fetch_intake_small,BL, Filter, TGA_F,u* info
% , doy, ,ng N2O-N/(m2s), ng N2O-N/(m2s), ng/m3, m2/s, m/s,m/s, W/m2,oC,m,m,m,m,m,m, , ,
2022.000000,1.041667,2.000000,NaN,NaN,NaN,0.034463,0.135343,1.872000,-5.043591,275.943652,0.570000,1.070000,0.104521,0.010920,1000.000000,1000.000000,42.626282,% tga filt,,%      
2022.000000,1.125000,2.000000,NaN,NaN,NaN,0.021079,0.083554,1.081000,-1.341569,276.435185,0.570000,1.070000,0.104526,0.010921,1000.000000,1000.000000,42.621921,% tga filt,,%      
2022.000000,1.208333,2.000000,NaN,NaN,NaN,0.021110,0.082319,0.617000,-0.529174,275.984790,0.570000,1.070000,0.104530,0.010921,1000.000000,1000.000000,42.621555,% tga filt,,%      
2022.000000,1.291667,2.000000,NaN,NaN,NaN,0.061841,0.225589,2.616000,-3.680836,276.103990,0.570000,1.070000,0.104534,0.010922,1000.000000,1000.000000,42.617286,% tga filt,,%      
2022.000000,1.375000,2.000000,1.118287,1.118287,9.846930,0.056784,0.207140,2.197000,-2.863033,276.685126,0.570000,1.070000,0.104539,0.010922,1000.000000,1000.000000,42.616828,%         ,,%      
2022.000000,1.458333,2.000000,9.959392,9.959392,44.860011,0.111005,0.404937,4.213000,13.454070,274.849330,0.570000,1.070000,0.104543,0.010922,1000.000000,1000.000000,42.616462,%         ,,%      
2022.000000,1.541667,2.000000,1.313120,1.313120,7.278625,0.090204,0.329058,3.352000,12.912520,274.250072,0.570000,1.070000,0.104548,0.010923,1000.000000,1000.000000,42.612103,%         ,,%      
2022.000000,1.625000,2.000000,14.991584,14.991584,81.952965,0.091465,0.333659,3.445000,6.171396,273.414292,0.570000,1.070000,0.104552,0.010923,1000.000000,1000.000000,42.611737,%         ,,%      
2022.000000,1.708333,2.000000,9.885539,9.885539,46.355217,0.106628,0.388978,3.500000,3.756495,272.908402,0.570000,1.070000,0.104557,0.010924,1000.000000,1000.000000,42.607378,%         ,,%      
2022.000000,1.791667,2.000000,10.849237,10.849237,44.680549,0.121409,0.442901,3.860000,16.789660,272.092613,0.570000,1.070000,0.104561,0.010924,1000.000000,1000.000000,42.607012,%         ,,%      
2022.000000,1.875000,2.000000,NaN,NaN,6.863567,NaN,NaN,3.808000,10.201950,270.334321,0.570000,1.070000,0.104566,0.010925,1000.000000,1000.000000,42.602654,% low winds,,%      
2022.000000,1.958333,2.000000,NaN,NaN,18.253413,NaN,NaN,4.623000,8.048094,269.162082,0.570000,1.070000,0.104570,0.010925,1000.000000,1000.000000,42.602288,% low winds,,%      
2022.000000,2.041667,2.000000,4.683752,4.683752,23.552774,0.099431,0.362733,4.248000,1.033057,269.123382,0.570000,1.070000,0.104575,0.010926,1000.000000,1000.000000,42.597932,%         ,,% filled u*+H
2022.000000,2.125000,2.000000,5.066913,5.066913,22.676495,0.111722,0.407573,3.901000,9.215086,268.604553,0.570000,1.070000,0.104579,0.010926,1000.000000,1000.000000,42.597565,%         ,,%      
2022.000000,2.208333,2.000000,2.058726,2.058726,11.344879,0.090734,0.331009,3.424000,13.194910,267.823695,0.570000,1.070000,0.104584,0.010927,1000.000000,1000.000000,42.593209,%         ,,%      
2022.000000,2.291667,2.000000,NaN,NaN,12.491188,NaN,NaN,4.284000,NaN,265.851340,0.570000,1.070000,0.104588,0.010927,1000.000000,1000.000000,42.592843,% low winds,,%      
2022.000000,2.375000,2.000000,10.062423,10.062423,83.628077,0.060162,0.219481,2.951000,2.742873,264.955330,0.570000,1.070000,0.104592,0.010928,1000.000000,1000.000000,42.588580,%         ,,% filled u*+H
